Creditor Name,Debtor Name,Credit Type,Original Amount (USD),Outstanding Balance (USD),Creditor Target Days,Debtor Target Days,Days Overdue,Purchase Purpose,Reason for Overdue,Business Sector,Last Payment Date,Collateral,Recovery Stage,Cash Flow Situation,Business Impact Description,Proposed Solution,Recovery Probability (%),Interest Accrued (USD)
Rodriguez-Frost,"Garza, Porter and Robertson",Business Line of Credit,27529.65,15700,5,68,234,Payroll funding,Unexpected tax liabilities,seize holistic deliverables,2025-03-27 07:48:10.602368,None,Pre-Legal,Temporary Disruption,Cover power than hit analysis blood son. Ask window arm. Happen too finally picture two add ago.,Debt restructuring with extended terms,22.0,1207.8246575342466
"Mcbride, Nelson and Dominguez",Turner-Bell,Invoice Financing,31394.88,15700,15,160,308,Outstanding invoices,Fraud incident,incentivize bricks-and-clicks e-commerce,2025-06-06 07:48:10.602368,None,Legal,Complete Breakdown,Congress wonder true.,Debt restructuring with extended terms,5.0,1589.786301369863
"Woods, Myers and Nelson",Baird-Vargas,Commercial Mortgage,35936.92,15700,8,176,63,Office building,Regulatory compliance costs,empower mission-critical platforms,2025-05-12 07:48:10.602368,Inventory,Early Delinquency,Temporary Disruption,Available up matter or bar.,Third-party guarantee,79.0,325.1835616438356
"Duran, Parker and Martinez",Buchanan-Lee,Commercial Mortgage,30228.21,15700,7,52,141,Warehouse purchase,Client bankruptcy affecting receivables,aggregate compelling e-services,2025-02-18 07:48:10.602368,Personal Guarantee,Early Delinquency,Complete Breakdown,Three scientist clear. Pull research he well character. Pressure protect trouble clearly develop size.,Collateral liquidation,53.0,727.7917808219178
Byrd PLC,Williams-Schwartz,Working Capital Loan,20688.08,15700,6,115,108,Marketing campaign,Currency fluctuation losses,monetize robust eyeballs,2025-02-26 07:48:10.602368,Accounts Receivable,Pre-Collection,Chronic Shortage,Goal size send blue little a personal. Democratic interview collection lay could. Dream street price audience difficult people side.,Equity conversion,64.0,557.4575342465754
Williams-Walker,Jones-Mccall,Business Line of Credit,29884.81,15700,6,89,343,Inventory purchase,Natural disaster impact,morph next-generation e-commerce,2025-02-20 07:48:10.602368,Equipment,Write-Off,Complete Breakdown,Open change within third. Rate whole help game Mr. Production television ago.,Partial payment plan,5.0,1770.4438356164385
Baker-Cameron,Francis-Fitzgerald,Business Line of Credit,40057.59,15700,9,126,318,Payroll funding,Supply chain disruption,strategize compelling web services,2025-05-27 07:48:10.602368,Real Estate,Pre-Legal,Temporary Disruption,Figure protect although player near year west. Store choice open surface test it.,Equity conversion,5.0,1641.4027397260274
Salinas LLC,Sanchez Group,Working Capital Loan,20782.99,15700,18,80,140,Marketing campaign,Regulatory compliance costs,enable bleeding-edge methodologies,2025-06-07 07:48:10.602368,Real Estate,Legal,Chronic Shortage,Tv authority see laugh trial evening listen. Include may candidate. Perform green before shoulder cover.,Partial payment plan,53.333333333333336,722.6301369863013
"Scott, Kent and Rodriguez",Wright PLC,Invoice Financing,35520.98,15700,11,156,225,Supplier payments,Pandemic-related closures,unleash cross-platform web-readiness,2025-03-28 07:48:10.602368,None,Pre-Legal,Complete Breakdown,Case country white manager last finish wind news.,Debt restructuring with extended terms,25.0,1161.3698630136987
"Potter, Sanders and Perez",Burgess Group,Business Line of Credit,33110.63,15700,17,139,75,Inventory purchase,Key customer default,aggregate strategic communities,2025-04-11 07:48:10.602368,Accounts Receivable,Pre-Legal,Chronic Shortage,Rather born parent keep the own. Boy firm sign environment.,Third-party guarantee,75.0,387.1232876712328
Johnson-Stewart,Gonzalez-Donovan,Commercial Mortgage,27545.66,15700,6,145,251,Office building,Unexpected tax liabilities,re-contextualize integrated applications,2025-03-24 07:48:10.602368,Real Estate,Early Delinquency,Complete Breakdown,Particularly bring scene.,Partial payment plan,16.33333333333333,1295.5726027397259
Perry-Brooks,Rojas Inc,Trade Finance,45640.4,15700,14,34,141,Export shipment,Seasonal sales downturn,orchestrate impactful functionalities,2025-03-22 07:48:10.602368,Personal Guarantee,Late Delinquency,Complete Breakdown,Suddenly plan public main phone. Open role major type while site together perform. Partner stay thousand.,Equity conversion,53.0,727.7917808219178
"Le, Woods and May","Sellers, Fritz and Jordan",Commercial Mortgage,40143.89,15700,9,158,181,Office building,Fraud incident,envisioneer mission-critical models,2025-02-17 07:48:10.602368,None,Late Delinquency,Complete Breakdown,Service author speak step actually between. Quality that exactly after campaign beautiful when. Than state method trial place hand science interesting.,Third-party guarantee,39.666666666666664,934.2575342465753
Mcdonald-Novak,"Nixon, Curtis and Allen",Merchant Cash Advance,41179.13,15700,14,98,166,Seasonal stock,Seasonal sales downturn,synergize rich applications,2025-05-14 07:48:10.602368,Personal Guarantee,Write-Off,Temporary Disruption,Special good event dog trade deal. Small themselves who Republican before education perhaps both.,Equity conversion,44.666666666666664,856.8328767123288
"Hill, Bennett and Fields",Hill-Smith,Commercial Mortgage,33124.94,15700,17,177,84,Office building,Seasonal sales downturn,implement synergistic technologies,2025-03-25 07:48:10.602368,Personal Guarantee,Write-Off,Temporary Disruption,Place rest bit sound respond star tell instead. If give once his major. Little left well cup provide ok drive. Though admit important write interesting order minute necessary.,Partial payment plan,72.0,433.5780821917808
Levine LLC,"Lopez, Sullivan and Woodard",Working Capital Loan,28002.76,15700,14,104,45,Tax payments,Unexpected tax liabilities,grow magnetic info-mediaries,2025-06-14 07:48:10.602368,Inventory,Late Delinquency,Chronic Shortage,Partner art design reveal all soldier guess authority. Company part education rate sea stock. Mother play run public region ten.,Debt restructuring with extended terms,85.0,232.27397260273972
Coleman-Guerrero,"Taylor, Davis and Larsen",Merchant Cash Advance,40793.53,15700,19,152,167,Seasonal stock,Seasonal sales downturn,implement turn-key bandwidth,2025-04-26 07:48:10.602368,Inventory,Legal,Temporary Disruption,Ok model whole catch happy. Myself also section return only onto.,Third-party guarantee,44.333333333333336,861.9945205479452
